IdAdres;UL;NR_BUD;data;miejsce;typ_miejsc;stan_nawie;oznakowani;oswietleni;warunki_at;wypadek;ilosc_ucze;wiek_spraw;pojazd_spr;wiek_piesz;lekko_rann;ciezko_ran;zabici
22;Zajęcza;11;2016-10-22 06:50:00.000;ZAKRĘT, ŁUK;JEZDNIA;STAN NAWIERZCHNI - MOKRA;OZNAKOWANIE POZIOME - JEST;ŚWIT, ZMROK;POCHMURNO;NAJECHANIE NA DRZEWO;1;59;SAMOCHÓD OSOBOWY;59;1;0;0
42;al. Jana Pawła II;80;2016-10-11 16:10:00.000;SYGNALIZACJA ŚWIETLNA - JEST, DZIAŁA;PRZEJŚCIE DLA PIESZYCH;STAN NAWIERZCHNI - MOKRA;OZNAKOWANIE POZIOME - JEST;ŚWIATŁO DZIENNE;OPADY DESZCZU;NAJECHANIE NA PIESZEGO;1;25;SAMOCHÓD OSOBOWY;27;0;1;0
42;JANA PAWŁA II;80;2016-11-19 22:53:00.000;SYGNALIZACJA ŚWIETLNA - JEST, DZIAŁA;PRZEJAZD TRAMWAJOWY, TOROWISKO TRAMWAJ.;STAN NAWIERZCHNI - MOKRA;OZNAKOWANIE POZIOME - JEST;NOC - DROGA OŚWIETLONA;OPADY DESZCZU;NAJECHANIE NA PIESZEGO;1;58;MOTOROWER;58;1;0;0
42;JANA PAWŁA II;80;2016-11-29 11:05:00.000;SYGNALIZACJA ŚWIETLNA - JEST, DZIAŁA;PRZEJŚCIE DLA PIESZYCH;STAN NAWIERZCHNI - SUCHA;OZNAKOWANIE POZIOME - JEST;ŚWIATŁO DZIENNE;DOBRE WARUNKI ATMOSFERYCZNE;NAJECHANIE NA PIESZEGO;1;35;ROWER;35;0;1;0
43;Stanisławy Wysockiej;2A;2016-12-01 15:30:00.000;ODCINEK PROSTY;PRZEJŚCIE DLA PIESZYCH;STAN NAWIERZCHNI - MOKRA;OZNAKOWANIE POZIOME - JEST;ŚWIT, ZMROK;OPADY DESZCZU;NAJECHANIE NA PIESZEGO;1;41;SAMOCHÓD OSOBOWY;70;1;0;0
43;STANISŁAWY WYSOCKIEJ;2A<;2016-12-02 18:20:00.000;SYGNALIZACJA ŚWIETLNA - JEST, DZIAŁA;PRZEJŚCIE DLA PIESZYCH;STAN NAWIERZCHNI - SUCHA;OZNAKOWANIE POZIOME - JEST;NOC - DROGA OŚWIETLONA;POCHMURNO;NAJECHANIE NA PIESZEGO;1;68;PIESZY;68;1;0;0
44;al. Jana Pawła II;78;2016-12-09 09:00:00.000;SYGNALIZACJA ŚWIETLNA - JEST, DZIAŁA;PRZEJŚCIE DLA PIESZYCH;STAN NAWIERZCHNI - SUCHA;OZNAKOWANIE POZIOME - JEST;ŚWIATŁO DZIENNE;POCHMURNO;NAJECHANIE NA PIESZEGO;1;80;PIESZY;80;1;0;0
45;ALEJA Jana Pawła II;92;2016-12-14 18:05:00.000;SYGNALIZACJA ŚWIETLNA - JEST, DZIAŁA;PRZEJŚCIE DLA PIESZYCH;STAN NAWIERZCHNI - MOKRA;OZNAKOWANIE POZIOME - JEST;NOC - DROGA OŚWIETLONA;DOBRE WARUNKI ATMOSFERYCZNE;NAJECHANIE NA PIESZEGO;1;NULL;AUTOBUS INNY;17;1;0;0
46;ALEJA Jana Pawła II;90;2016-12-21 13:30:00.000;ODCINEK PROSTY;PRZEJŚCIE DLA PIESZYCH;STAN NAWIERZCHNI - MOKRA;OZNAKOWANIE POZIOME - JEST;ŚWIATŁO DZIENNE;POCHMURNO;NAJECHANIE NA PIESZEGO;1;NULL;ROWER;37;1;0;0
49;ALEJA Jana Pawła II;72;2016-12-29 11:30:00.000;SYGNALIZACJA ŚWIETLNA - JEST, DZIAŁA;PRZEJŚCIE DLA PIESZYCH;STAN NAWIERZCHNI - SUCHA;OZNAKOWANIE POZIOME - JEST;ŚWIATŁO DZIENNE;DOBRE WARUNKI ATMOSFERYCZNE;NAJECHANIE NA PIESZEGO;1;33;PIESZY;33;0;1;0
56;SKARŻYŃSKIEGO;9;2016-10-05 11:45:00.000;ODCINEK PROSTY;JEZDNIA;STAN NAWIERZCHNI - MOKRA;OZNAKOWANIE POZIOME - JEST;ŚWIATŁO DZIENNE;OPADY DESZCZU;NAJECHANIE NA PIESZEGO;1;19;ROWER;19;0;1;0
56;STANISŁAWA SKARŻYŃSKIEGO;9;2016-10-12 18:09:00.000;ODCINEK PROSTY;JEZDNIA;STAN NAWIERZCHNI - MOKRA;OZNAKOWANIE POZIOME - JEST;NOC - DROGA OŚWIETLONA;OPADY DESZCZU;NAJECHANIE NA PIESZEGO;1;48;SAMOCHÓD OSOBOWY;37;1;0;0
56;STANISŁAWA SKARŻYŃSKIEGO;9;2016-11-16 17:00:00.000;ODCINEK PROSTY;JEZDNIA;STAN NAWIERZCHNI - SUCHA;OZNAKOWANIE POZIOME - NIE MA;NOC - DROGA OŚWIETLONA;DOBRE WARUNKI ATMOSFERYCZNE;NAJECHANIE NA PIESZEGO;1;48;PIESZY;48;1;0;0
57; Jana Pawła II;39;2016-11-20 08:24:00.000;ODCINEK PROSTY;JEZDNIA;STAN NAWIERZCHNI - MOKRA;OZNAKOWANIE POZIOME - JEST;ŚWIATŁO DZIENNE;POCHMURNO;NAJECHANIE NA PIESZEGO;1;40;PIESZY;40;1;0;0
58;JANA PAWŁA II;31;2016-12-08 04:40:00.000;ODCINEK PROSTY;JEZDNIA;STAN NAWIERZCHNI - MOKRA;OZNAKOWANIE POZIOME - JEST;NOC - DROGA OŚWIETLONA;POCHMURNO;NAJECHANIE NA PIESZEGO;1;23;PIESZY;23;1;0;0
58;JANA PAWŁA II;31;2016-12-08 06:30:00.000;SYGNALIZACJA ŚWIETLNA - JEST, DZIAŁA;JEZDNIA;STAN NAWIERZCHNI - MOKRA;OZNAKOWANIE POZIOME - JEST;NOC - DROGA OŚWIETLONA;POCHMURNO;NAJECHANIE NA PIESZEGO;1;27;PIESZY;27;0;1;0
59;aleja JANA PAWŁA II;33;2016-10-02 07:20:00.000;ODCINEK PROSTY;PRZYSTANEK KOMUNIKACJI PUBLICZNEJ;STAN NAWIERZCHNI - SUCHA;OZNAKOWANIE POZIOME - JEST;ŚWIATŁO DZIENNE;DOBRE WARUNKI ATMOSFERYCZNE;WYPADEK Z PASAŻERM;1;38;ROWER;38;1;2;0
60;STANISŁAWA SKARŻYŃSKIEGO;2;2016-10-05 13:55:00.000;SYGNALIZACJA ŚWIETLNA - JEST, DZIAŁA;JEZDNIA;STAN NAWIERZCHNI - MOKRA;OZNAKOWANIE POZIOME - JEST;ŚWIATŁO DZIENNE;OPADY DESZCZU;WYPADEK Z PASAŻERM;1;24;MOTOCYKL INNY;29;1;0;0
60;STANISŁAWA SKARŻYŃSKIEGO;2;2016-10-24 16:18:00.000;ODCINEK PROSTY;JEZDNIA;STAN NAWIERZCHNI - SUCHA;OZNAKOWANIE POZIOME - JEST;ŚWIATŁO DZIENNE;DOBRE WARUNKI ATMOSFERYCZNE;WYPADEK Z PASAŻERM;1;29;ROWER;29;0;1;0
60;Stanisława Skarżyńskiego;2;2016-11-08 11:54:00.000;ODCINEK PROSTY;JEZDNIA;STAN NAWIERZCHNI - SUCHA;OZNAKOWANIE POZIOME - JEST;ŚWIATŁO DZIENNE;DOBRE WARUNKI ATMOSFERYCZNE;WYPADEK Z PASAŻERM;1;29;ROWER;29;0;1;0
74;OŚWIECENIA;31;2016-10-30 16:15:00.000;ODCINEK PROSTY;JEZDNIA;STAN NAWIERZCHNI - SUCHA;OZNAKOWANIE POZIOME - JEST;NOC - DROGA OŚWIETLONA;DOBRE WARUNKI ATMOSFERYCZNE;NAJECHANIE NA PIESZEGO;1;NULL;MOTOCYKL INNY;33;2;1;0
74;OŚWIECENIA;31;2016-12-01 17:25:00.000;SKRZYŻOWANIEZ DROGĄ Z PIERWSZ.;PRZEJŚCIE DLA PIESZYCH;STAN NAWIERZCHNI - MOKRA;OZNAKOWANIE POZIOME - JEST;ŚWIT, ZMROK;OPADY DESZCZU;NAJECHANIE NA PIESZEGO;1;NULL;MOTOCYKL INNY;36;1;0;0
75;os. Oświecenia;28;2016-12-02 10:45:00.000;ODCINEK PROSTY;JEZDNIA;STAN NAWIERZCHNI - MOKRA;OZNAKOWANIE POZIOME - JEST;ŚWIATŁO DZIENNE;OPADY DESZCZU;NAJECHANIE NA PIESZEGO;1;NULL;ZWIERZĘ;29;1;0;0
75;OŚWIECENIA;28;2016-12-29 14:10:00.000;ODCINEK PROSTY;JEZDNIA;STAN NAWIERZCHNI - SUCHA;OZNAKOWANIE POZIOME - NIE MA;ŚWIATŁO DZIENNE;DOBRE WARUNKI ATMOSFERYCZNE;NAJECHANIE NA PIESZEGO;1;NULL;ZWIERZĘ;30;1;0;0
78;OŚWIECENIA;15;2016-10-25 18:10:00.000;ODCINEK PROSTY;JEZDNIA;STAN NAWIERZCHNI - MOKRA;OZNAKOWANIE POZIOME - NIE MA;NOC - DROGA OŚWIETLONA;OPADY DESZCZU;NAJECHANIE NA PIESZEGO;1;NULL;SAMOCHÓD OSOBOWY;30;1;0;0
